vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
49,ACCURACY_FAIL,8.982479,0.369224930,0.680871055,-0.041053147,0.305956086,0.599287490,0.692345504,1.107654496,0.000000174,1.799999826,0.000730960,1.799269040,0.306976833,1.493023167,0.323120574,0.156977321,0.222096190,0.297805915
50,ACCURACY_FAIL,8.982231,0.571121896,-0.830443027,0.321171300,0.819554275,0.564605768,0.000000134,1.799999866,0.000089043,1.799910957,0.959543958,0.840456042,0.040392577,1.759607423,0.074596623,0.235971152,0.388422062,0.301010163
51,ACCURACY_FAIL,8.982707,0.323119969,0.500280920,-0.043934511,-0.642956563,0.578270862,0.314192145,1.485807855,0.000000831,1.799999169,0.000000135,1.799999865,0.685885547,1.114114453,0.335548630,0.194717826,0.106967966,0.362765578
52,ACCURACY_FAIL,8.982039,0.559106185,-0.334965600,0.601647138,0.943314578,-0.208323010,0.000000133,1.799999867,0.007099598,1.792900402,0.992904442,0.807095558,0.000000133,1.799999867,0.120819706,0.308250308,0.433798257,0.137131729
53,ACCURACY_FAIL,8.982012,0.542648409,-0.197226364,0.893594013,0.449597331,-0.659992680,0.000000133,1.799999867,0.999499633,0.800500367,0.000501435,1.799498565,0.000000133,1.799999867,0.153474958,0.456851224,0.293055235,0.096618583
54,ACCURACY_FAIL,8.982390,0.457674882,-0.745923265,-0.697698599,0.809704191,0.613003964,0.000000134,1.799999866,0.000000134,1.799999866,0.901334891,0.898665109,0.098708387,1.701291613,0.093637511,0.098263803,0.443660009,0.364438676
55,ACCURACY_FAIL,8.982066,0.576198717,-0.707651383,0.653020957,0.960611887,0.314536585,0.000000133,1.799999867,0.015291575,1.784708425,0.984713977,0.815286023,0.000001629,1.799998371,0.077035473,0.300346960,0.408515260,0.214102307
56,ACCURACY_FAIL,1.721394,0.274561746,-0.299184976,0.097320088,-0.738032296,-0.971514124,0.000018898,1.799981102,0.191630104,1.608369896,0.000000139,1.799999861,0.000000138,1.799999862,0.274580644,0.408197068,0.177043893,0.140178394
57,ACCURACY_FAIL,8.982112,0.324712928,0.941780354,0.299349339,0.053162094,0.867249610,0.673702561,1.126297439,0.000000451,1.799999549,0.000000133,1.799999867,0.326311902,1.473688098,0.348989633,0.183572779,0.143512761,0.323924827
58,ACCURACY_FAIL,8.982392,0.328018324,-0.132381126,0.743485856,0.652310504,-0.577915325,0.000000135,1.799999865,0.713208583,1.086791417,0.286836628,1.513163372,0.000000134,1.799999866,0.160432037,0.385190259,0.351623865,0.102753838
59,ACCURACY_FAIL,3.879532,0.216451229,-0.496330377,-0.414066695,-0.518921215,0.172874336,0.000000197,1.799999803,0.000000717,1.799999283,0.000000170,1.799999830,0.431921883,1.368078117,0.199358534,0.216451946,0.194905348,0.389284172
60,ACCURACY_FAIL,8.982011,0.461589518,-0.481270409,-0.161974894,-0.737852647,0.820034113,0.000000134,1.799999866,0.000000134,1.799999866,0.000000134,1.799999866,1.000001161,0.799998839,0.146542997,0.201666309,0.113379051,0.538411643
61,ACCURACY_FAIL,8.982008,0.559188038,-0.292431952,-0.083678027,0.166697544,0.808593549,0.000000134,1.799999866,0.000000135,1.799999865,0.000001933,1.799998067,0.999998734,0.800001266,0.146582736,0.180610711,0.231995858,0.440810696
62,ACCURACY_FAIL,8.982009,0.558951975,-0.158743459,0.835442169,0.003297882,0.063649925,0.000000134,1.799999866,1.000000559,0.799999441,0.000000141,1.799999859,0.000000176,1.799999824,0.163198852,0.441048584,0.191906975,0.203845589
63,ACCURACY_FAIL,0.837061,0.309061292,0.047013171,-0.962590264,-0.119750175,-0.633784225,0.090731442,1.709268558,0.000000138,1.799999862,0.002461420,1.797538580,0.000000140,1.799999860,0.368056181,0.134106218,0.311522712,0.186314889
