n,density,seed,a_ones,b_ones,total_products,active_products,y_mean,y_max,digital_total_ops,digital_adder_depth,digital_output_bitwidth,digital_energy_pj_est,digital_latency_ns_est,neuro_membrane_fanin,neuro_energy_pj_est_measured_cal,neuro_energy_pj_est_spike_model,neuro_latency_ns_floor_est
2,0.020,43,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,44,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,45,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,46,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,47,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,48,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,49,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,50,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,51,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,52,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,53,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,54,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,55,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,56,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,57,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,58,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,59,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,60,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,1,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,2,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,3,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,4,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,5,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,6,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,7,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,8,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,9,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,10,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,11,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,12,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,13,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,14,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,15,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,16,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,17,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,18,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.030,19,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
