vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
52,ACCURACY_FAIL,8.982000,0.160579260,-0.334965600,0.601647138,0.943314578,-0.208323010,0.046106517,0.046106517,0.300119217,0.300119217,0.594377517,0.594377517,0.059396749,0.059396749,0.120819706,0.308250308,0.433798257,0.137131729
53,ACCURACY_FAIL,8.982000,0.180471397,-0.197226364,0.893594013,0.449597331,-0.659992680,0.071925815,0.071925815,0.637322621,0.637322621,0.262245905,0.262245905,0.028505658,0.028505658,0.153474958,0.456851224,0.293055235,0.096618583
54,ACCURACY_FAIL,8.982000,0.121836064,-0.745923265,-0.697698599,0.809704191,0.613003964,0.025190034,0.025190034,0.027740620,0.027740620,0.565496073,0.565496073,0.381573273,0.381573273,0.093637511,0.098263803,0.443660009,0.364438676
55,ACCURACY_FAIL,8.982000,0.131796812,-0.707651383,0.653020957,0.960611887,0.314536585,0.019213638,0.019213638,0.292061683,0.292061683,0.540312072,0.540312072,0.148412607,0.148412607,0.077035473,0.300346960,0.408515260,0.214102307
56,ACCURACY_FAIL,8.982000,0.160461440,-0.299184976,0.097320088,-0.738032296,-0.971514124,0.257307010,0.257307010,0.568658508,0.568658508,0.106972878,0.106972878,0.067061605,0.067061605,0.274580644,0.408197068,0.177043893,0.140178394
57,ACCURACY_FAIL,8.982000,0.084415554,0.941780354,0.299349339,0.053162094,0.867249610,0.433405187,0.433405187,0.119918342,0.119918342,0.073290906,0.073290906,0.373385564,0.373385564,0.348989633,0.183572779,0.143512761,0.323924827
58,ACCURACY_FAIL,8.982000,0.096054780,-0.132381126,0.743485856,0.652310504,-0.577915325,0.083482966,0.083482966,0.481245039,0.481245039,0.401025843,0.401025843,0.034246152,0.034246152,0.160432037,0.385190259,0.351623865,0.102753838
59,ACCURACY_FAIL,8.982000,0.159532034,-0.496330377,-0.414066695,-0.518921215,0.172874336,0.143933902,0.143933902,0.169674440,0.169674440,0.137575451,0.137575451,0.548816206,0.548816206,0.199358534,0.216451946,0.194905348,0.389284172
60,ACCURACY_FAIL,8.982000,0.256047591,-0.481270409,-0.161974894,-0.737852647,0.820034113,0.058853578,0.058853578,0.111457534,0.111457534,0.035229653,0.035229653,0.794459234,0.794459234,0.146542997,0.201666309,0.113379051,0.538411643
61,ACCURACY_FAIL,8.982000,0.202096336,-0.292431952,-0.083678027,0.166697544,0.808593549,0.071090174,0.071090174,0.107927205,0.107927205,0.178075589,0.178075589,0.642907032,0.642907032,0.146582736,0.180610711,0.231995858,0.440810696
62,ACCURACY_FAIL,8.982000,0.208362123,-0.158743459,0.835442169,0.003297882,0.063649925,0.088916177,0.088916177,0.649410707,0.649410707,0.122949878,0.122949878,0.138723239,0.138723239,0.163198852,0.441048584,0.191906975,0.203845589
63,ACCURACY_FAIL,8.982000,0.106911755,0.047013171,-0.962590264,-0.119750175,-0.633784225,0.474967936,0.474967936,0.063057085,0.063057085,0.340263598,0.340263598,0.121711380,0.121711380,0.368056181,0.134106218,0.311522712,0.186314889
