time_ns,current_a,power_w,spike_v
17.200000,-6.377021889e-05,1.147863940e-04,0.206893056
17.300000,-6.366292147e-05,1.145932587e-04,0.205964357
17.400000,-6.355562406e-05,1.144001233e-04,0.205035658
17.500000,-6.344832664e-05,1.142069880e-04,0.204106959
17.600000,-6.334102923e-05,1.140138526e-04,0.203178260
17.700000,-6.323373181e-05,1.138207173e-04,0.202249561
17.800000,-6.312643439e-05,1.136275819e-04,0.201320863
17.900000,-6.301913698e-05,1.134344466e-04,0.200392164
18.000000,-6.291183956e-05,1.132413112e-04,0.199463465
18.100000,-6.280454215e-05,1.130481759e-04,0.198534766
18.200000,-6.269724473e-05,1.128550405e-04,0.197606067
18.300000,-6.258994731e-05,1.126619052e-04,0.196677368
18.400000,-6.248264990e-05,1.124687698e-04,0.195748670
18.500000,-6.241017729e-05,1.123383191e-04,0.195090123
18.600000,-6.234036099e-05,1.122126498e-04,0.194452183
18.700000,-6.227054469e-05,1.120869804e-04,0.193814242
18.800000,-6.220072839e-05,1.119613111e-04,0.193176302
18.900000,-6.213091210e-05,1.118356418e-04,0.192538362
19.000000,-6.206109580e-05,1.117099724e-04,0.191900422
19.100000,-6.199127950e-05,1.115843031e-04,0.191262481
19.200000,-6.192146320e-05,1.114586338e-04,0.190624541
19.300000,-6.185164690e-05,1.113329644e-04,0.189986601
19.400000,-6.178183060e-05,1.112072951e-04,0.189348660
19.500000,-6.171201431e-05,1.110816257e-04,0.188710720
19.600000,-6.164219801e-05,1.109559564e-04,0.188072780
19.700000,-6.157238171e-05,1.108302871e-04,0.187434840
19.800000,-6.150256541e-05,1.107046177e-04,0.186796899
19.900000,-6.143274911e-05,1.105789484e-04,0.186158959
20.000000,-6.136293281e-05,1.104532791e-04,0.185521019
20.100000,-6.129311652e-05,1.103276097e-04,0.184883078
20.200000,-6.122330022e-05,1.102019404e-04,0.184245138
20.300000,-6.115348392e-05,1.100762711e-04,0.183607198
20.400000,-6.108366762e-05,1.099506017e-04,0.182969258
20.500000,-6.101385132e-05,1.098249324e-04,0.182331317
20.600000,-6.094403502e-05,1.096992630e-04,0.181693377
20.700000,-6.087421872e-05,1.095735937e-04,0.181055437
20.800000,-6.080440243e-05,1.094479244e-04,0.180417496
20.900000,-6.073860531e-05,1.093294896e-04,0.179884263
21.000000,-6.067413155e-05,1.092134368e-04,0.179385504
21.100000,-6.060965779e-05,1.090973840e-04,0.178886746
21.200000,-6.054518403e-05,1.089813313e-04,0.178387988
21.300000,-6.048071028e-05,1.088652785e-04,0.177889230
21.400000,-6.041623652e-05,1.087492257e-04,0.177390472
21.500000,-6.035176276e-05,1.086331730e-04,0.176891714
21.600000,-6.028728900e-05,1.085171202e-04,0.176392956
21.700000,-6.022281525e-05,1.084010674e-04,0.175894198
21.800000,-6.015834149e-05,1.082850147e-04,0.175395440
21.900000,-6.009386773e-05,1.081689619e-04,0.174896682
22.000000,-6.002939397e-05,1.080529092e-04,0.174397924
22.100000,-5.996492022e-05,1.079368564e-04,0.173899166
22.200000,-5.990044646e-05,1.078208036e-04,0.173400408
22.300000,-5.983597270e-05,1.077047509e-04,0.172901650
22.400000,-5.977149894e-05,1.075886981e-04,0.172402892
22.500000,-5.970702519e-05,1.074726453e-04,0.171904134
22.600000,-5.964255143e-05,1.073565926e-04,0.171405376
22.700000,-5.957807767e-05,1.072405398e-04,0.170906618
22.800000,-5.951360391e-05,1.071244870e-04,0.170407860
22.900000,-5.944913016e-05,1.070084343e-04,0.169909102
23.000000,-5.940301472e-05,1.069254265e-04,0.169508937
23.100000,-5.935949439e-05,1.068470899e-04,0.169122709
23.200000,-5.931597406e-05,1.067687533e-04,0.168736481
23.300000,-5.927245373e-05,1.066904167e-04,0.168350253
23.400000,-5.922893340e-05,1.066120801e-04,0.167964025
23.500000,-5.918541307e-05,1.065337435e-04,0.167577797
23.600000,-5.914189274e-05,1.064554069e-04,0.167191569
23.700000,-5.909837241e-05,1.063770703e-04,0.166805341
23.800000,-5.905485208e-05,1.062987337e-04,0.166419113
23.900000,-5.901133175e-05,1.062203971e-04,0.166032885
24.000000,-5.896781142e-05,1.061420606e-04,0.165646657
24.100000,-5.892429109e-05,1.060637240e-04,0.165260429
24.200000,-5.888077076e-05,1.059853874e-04,0.164874201
24.300000,-5.883725043e-05,1.059070508e-04,0.164487973
24.400000,-5.879373010e-05,1.058287142e-04,0.164101745
24.500000,-5.875020977e-05,1.057503776e-04,0.163715517
24.600000,-5.870668944e-05,1.056720410e-04,0.163329289
24.700000,-5.866316911e-05,1.055937044e-04,0.162943061
24.800000,-5.861964878e-05,1.055153678e-04,0.162556833
24.900000,-5.857612845e-05,1.054370312e-04,0.162170605
25.000000,-5.853260812e-05,1.053586946e-04,0.161784377
25.100000,-6.741889910e-04,1.213540184e-03,0.311564353
25.200000,-6.473374878e-04,1.165207478e-03,1.678870972
25.300000,-6.376118286e-04,1.147701292e-03,1.737927577
25.400000,-6.314015742e-04,1.136522834e-03,1.763501771
25.500000,-6.263114304e-04,1.127360575e-03,1.777373359
25.600000,-6.223837680e-04,1.120290782e-03,1.785808308
25.700000,-6.188603958e-04,1.113948712e-03,1.790502738
25.800000,-6.157330556e-04,1.108319500e-03,1.794069173
25.900000,-6.131986127e-04,1.103757503e-03,1.796088984
26.000000,-6.108411638e-04,1.099514095e-03,1.797613448
26.100000,-6.087328460e-04,1.095719123e-03,1.798440676
26.200000,-6.066245282e-04,1.091924151e-03,1.799267903
26.300000,-6.052831654e-04,1.089509698e-03,1.799506710
26.400000,-6.040214172e-04,1.087238551e-03,1.799684436
26.500000,-6.027596690e-04,1.084967404e-03,1.799862161
26.600000,-6.018803031e-04,1.083384546e-03,1.799956029
26.700000,-6.010934136e-04,1.081968144e-03,1.800029615
26.800000,-6.003065240e-04,1.080551743e-03,1.800103202
26.900000,-6.001834489e-04,1.080330208e-03,1.800077923
27.000000,-6.001319839e-04,1.080237571e-03,1.800041980
27.100000,-6.000805189e-04,1.080144934e-03,1.800006036
27.200000,-8.495507324e-09,1.529191318e-08,1.799989809
27.300000,-8.421839609e-09,1.515931130e-08,1.799988289
27.400000,-8.405962545e-09,1.513073258e-08,1.799988345
27.500000,-8.398282420e-09,1.511690836e-08,1.799988376
27.600000,-8.413556939e-09,1.514440249e-08,1.799988313
27.700000,-8.436882597e-09,1.518638867e-08,1.799988216
27.800000,-1.518576390e-08,2.733437501e-08,1.799988322
27.900000,-2.665194943e-08,4.797350897e-08,1.799988571
28.000000,-3.811813496e-08,6.861264292e-08,1.799988820
28.100000,-4.958432049e-08,8.925177688e-08,1.799989069
28.200000,-7.653269515e-08,1.377588513e-07,1.799989230
28.300000,-1.359711415e-07,2.447480548e-07,1.799989206
28.400000,-1.954095879e-07,3.517372583e-07,1.799989182
28.500000,-2.548480343e-07,4.587264618e-07,1.799989157
28.600000,-3.142864807e-07,5.657156653e-07,1.799989133
28.700000,-3.737249271e-07,6.727048688e-07,1.799989108
28.800000,-4.331633735e-07,7.796940724e-07,1.799989084
28.900000,-4.926018199e-07,8.866832759e-07,1.799989060
29.000000,-5.520402663e-07,9.936724794e-07,1.799989035
29.100000,-6.867154157e-07,1.236087748e-06,1.799983533
29.200000,-8.410665593e-07,1.513919807e-06,1.799976598
29.300000,-9.954177028e-07,1.791751865e-06,1.799969663
29.400000,-1.149768846e-06,2.069583924e-06,1.799962728
29.500000,-1.304119990e-06,2.347415982e-06,1.799955793
29.600000,-1.458471134e-06,2.625248040e-06,1.799948859
29.700000,-1.612822277e-06,2.903080099e-06,1.799941924
29.800000,-1.767173421e-06,3.180912157e-06,1.799934989
29.900000,-1.921524564e-06,3.458744216e-06,1.799928054
30.000000,-2.075875708e-06,3.736576274e-06,1.799921119
30.100000,-2.230226852e-06,4.014408333e-06,1.799914184
30.200000,-2.384577995e-06,4.292240391e-06,1.799907249
30.300000,-2.538929139e-06,4.570072450e-06,1.799900315
30.400000,-2.693280282e-06,4.847904508e-06,1.799893380
30.500000,-2.847631426e-06,5.125736567e-06,1.799886445
30.600000,-3.001982569e-06,5.403568625e-06,1.799879510
30.700000,-3.156333713e-06,5.681400683e-06,1.799872575
30.800000,-3.439758870e-06,6.191565965e-06,1.799782965
30.900000,-3.770292115e-06,6.786525807e-06,1.799663180
31.000000,-4.100825360e-06,7.381485649e-06,1.799543395
31.100000,-4.431358606e-06,7.976445490e-06,1.799423611
31.200000,-4.761891851e-06,8.571405332e-06,1.799303826
31.300000,-5.092425096e-06,9.166365174e-06,1.799184042
31.400000,-5.422958342e-06,9.761325015e-06,1.799064257
31.500000,-5.753491587e-06,1.035628486e-05,1.798944472
31.600000,-6.084024832e-06,1.095124470e-05,1.798824688
31.700000,-6.414558078e-06,1.154620454e-05,1.798704903
31.800000,-6.745091323e-06,1.214116438e-05,1.798585118
31.900000,-7.075624569e-06,1.273612422e-05,1.798465334
32.000000,-7.406157814e-06,1.333108407e-05,1.798345549
32.100000,-7.736691059e-06,1.392604391e-05,1.798225765
32.200000,-8.067224305e-06,1.452100375e-05,1.798105980
32.300000,-8.397757550e-06,1.511596359e-05,1.797986195
32.400000,-8.728290795e-06,1.571092343e-05,1.797866411
32.500000,-9.058824041e-06,1.630588327e-05,1.797746626
32.600000,-9.389357286e-06,1.690084311e-05,1.797626842
32.700000,-9.719890531e-06,1.749580296e-05,1.797507057
32.800000,-1.005042378e-05,1.809076280e-05,1.797387272
32.900000,-1.038095702e-05,1.868572264e-05,1.797267488
33.000000,-1.071149027e-05,1.928068248e-05,1.797147703
33.100000,-1.104202351e-05,1.987564232e-05,1.797027918
33.200000,-1.137255676e-05,2.047060216e-05,1.796908134
33.300000,-1.170309000e-05,2.106556201e-05,1.796788349
33.400000,-1.203362325e-05,2.166052185e-05,1.796668565
33.500000,-1.236415649e-05,2.225548169e-05,1.796548780
33.600000,-1.269468974e-05,2.285044153e-05,1.796428995
33.700000,-1.302522298e-05,2.344540137e-05,1.796309211
33.800000,-1.335575623e-05,2.404036121e-05,1.796189426
33.900000,-1.368628948e-05,2.463532106e-05,1.796069641
34.000000,-1.401682272e-05,2.523028090e-05,1.795949857
34.100000,-1.444045022e-05,2.599281039e-05,1.795632345
34.200000,-1.491848707e-05,2.685327673e-05,1.795199270
34.300000,-1.539652392e-05,2.771374306e-05,1.794766195
34.400000,-1.587456077e-05,2.857420939e-05,1.794333120
34.500000,-1.635259763e-05,2.943467573e-05,1.793900045
34.600000,-1.683063448e-05,3.029514206e-05,1.793466970
34.700000,-1.730867133e-05,3.115560839e-05,1.793033895
34.800000,-1.778670818e-05,3.201607472e-05,1.792600820
34.900000,-1.833835289e-05,3.300903520e-05,1.791776264
35.000000,-1.892446418e-05,3.406403553e-05,1.790768398
35.100000,-1.951057547e-05,3.511903585e-05,1.789760533
35.200000,-2.009668676e-05,3.617403617e-05,1.788752667
35.300000,-2.068279805e-05,3.722903650e-05,1.787744802
35.400000,-2.126890934e-05,3.828403682e-05,1.786736937
35.500000,-2.185502064e-05,3.933903714e-05,1.785729071
35.600000,-2.244113193e-05,4.039403747e-05,1.784721206
35.700000,-2.302724322e-05,4.144903779e-05,1.783713341
35.800000,-2.361335451e-05,4.250403811e-05,1.782705475
35.900000,-2.419946580e-05,4.355903844e-05,1.781697610
36.000000,-2.478557709e-05,4.461403876e-05,1.780689744
36.100000,-2.537168838e-05,4.566903909e-05,1.779681879
36.200000,-2.595779967e-05,4.672403941e-05,1.778674014
36.300000,-2.654391096e-05,4.777903973e-05,1.777666148
36.400000,-2.713002225e-05,4.883404006e-05,1.776658283
36.500000,-2.782083012e-05,5.007749422e-05,1.774871928
36.600000,-2.854099760e-05,5.137379568e-05,1.772867264
36.700000,-2.926116507e-05,5.267009713e-05,1.770862600
36.800000,-2.998133255e-05,5.396639858e-05,1.768857936
36.900000,-3.070150002e-05,5.526270003e-05,1.766853273
37.000000,-3.147947478e-05,5.666305460e-05,1.764271208
37.100000,-3.239448061e-05,5.831006509e-05,1.760320426
37.200000,-3.330948644e-05,5.995707558e-05,1.756369645
37.300000,-3.422449226e-05,6.160408608e-05,1.752418863
37.400000,-3.513949809e-05,6.325109657e-05,1.748468081
37.500000,-3.605450392e-05,6.489810706e-05,1.744517300
37.600000,-3.696950975e-05,6.654511755e-05,1.740566518
37.700000,-3.788451558e-05,6.819212804e-05,1.736615736
37.800000,-3.879952141e-05,6.983913853e-05,1.732664954
37.900000,-3.971452724e-05,7.148614902e-05,1.728714173
38.000000,-4.062953306e-05,7.313315951e-05,1.724763391
38.100000,-4.163991298e-05,7.495184337e-05,1.719730059
38.200000,-4.284560479e-05,7.712208862e-05,1.712479824
38.300000,-4.405129660e-05,7.929233388e-05,1.705229590
38.400000,-4.534127907e-05,8.161430233e-05,1.696893265
38.500000,-4.704325231e-05,8.467785416e-05,1.683248410
38.600000,-4.874522555e-05,8.774140598e-05,1.669603555
38.700000,-5.044719878e-05,9.080495780e-05,1.655958699
38.800000,-5.214917202e-05,9.386850963e-05,1.642313844
38.900000,-5.385114525e-05,9.693206145e-05,1.628668989
39.000000,-5.555311849e-05,9.999561328e-05,1.615024134
39.100000,-5.793377676e-05,1.042807982e-04,1.591998062
39.200000,-6.105324812e-05,1.098958466e-04,1.558378815
39.300000,-6.521076851e-05,1.173793833e-04,1.509775599
39.400000,-6.936828889e-05,1.248629200e-04,1.461172382
39.500000,-7.456944725e-05,1.342250051e-04,1.396705182
39.600000,-8.503082262e-05,1.530554807e-04,1.253904793
39.700000,-1.131512236e-04,2.036722024e-04,0.857815614
39.800000,-7.850521083e-05,1.413093795e-04,0.361463707
39.900000,-7.145692351e-05,1.286224623e-04,0.283204411
40.000000,-7.065185995e-05,1.271733479e-04,0.274711440
40.100000,-7.038154990e-05,1.266867898e-04,0.271324654
40.200000,-7.001672021e-05,1.260300964e-04,0.268115563
40.300000,-6.972044427e-05,1.254967997e-04,0.265146138
40.400000,-6.949085924e-05,1.250835466e-04,0.262404763
40.500000,-6.925451930e-05,1.246581347e-04,0.259731718
40.600000,-6.899515915e-05,1.241912865e-04,0.257291536
40.700000,-6.873579901e-05,1.237244382e-04,0.254851355
40.800000,-6.847643886e-05,1.232575900e-04,0.252411174
40.900000,-6.821707872e-05,1.227907417e-04,0.249970993
41.000000,-6.801038195e-05,1.224186875e-04,0.247899743
41.100000,-6.783167431e-05,1.220970138e-04,0.246024569
41.200000,-6.765296667e-05,1.217753400e-04,0.244149396
41.300000,-6.747425903e-05,1.214536663e-04,0.242274222
41.400000,-6.729555140e-05,1.211319925e-04,0.240399049
41.500000,-6.711684376e-05,1.208103188e-04,0.238523875
41.600000,-6.693813612e-05,1.204886450e-04,0.236648701
41.700000,-6.675942848e-05,1.201669713e-04,0.234773528
41.800000,-6.660520344e-05,1.198893662e-04,0.233343552
41.900000,-6.645286505e-05,1.196151571e-04,0.231947883
42.000000,-6.630052665e-05,1.193409480e-04,0.230552214
42.100000,-6.614818826e-05,1.190667389e-04,0.229156545
42.200000,-6.599584987e-05,1.187925298e-04,0.227760876
42.300000,-6.584351148e-05,1.185183207e-04,0.226365207
42.400000,-6.569117309e-05,1.182441116e-04,0.224969538
42.500000,-6.553883470e-05,1.179699025e-04,0.223573869
42.600000,-6.538649630e-05,1.176956933e-04,0.222178200
42.700000,-6.523415791e-05,1.174214842e-04,0.220782531
42.800000,-6.508181952e-05,1.171472751e-04,0.219386862
42.900000,-6.492948113e-05,1.168730660e-04,0.217991193
43.000000,-6.477714274e-05,1.165988569e-04,0.216595525
43.100000,-6.464289949e-05,1.163572191e-04,0.215335927
43.200000,-6.454155010e-05,1.161747902e-04,0.214323682
43.300000,-6.444020070e-05,1.159923613e-04,0.213311438
43.400000,-6.433885131e-05,1.158099324e-04,0.212299193
43.500000,-6.423750191e-05,1.156275034e-04,0.211286949
43.600000,-6.413615252e-05,1.154450745e-04,0.210274704
43.700000,-6.403480313e-05,1.152626456e-04,0.209262460
43.800000,-6.393345373e-05,1.150802167e-04,0.208250215
43.900000,-6.383210434e-05,1.148977878e-04,0.207237971
44.000000,-6.373075495e-05,1.147153589e-04,0.206225726
44.100000,-6.362552070e-05,1.145259373e-04,0.205296900
44.200000,-6.351843670e-05,1.143331861e-04,0.204407791
44.300000,-6.341135271e-05,1.141404349e-04,0.203518683
44.400000,-6.330426872e-05,1.139476837e-04,0.202629575
44.500000,-6.319718473e-05,1.137549325e-04,0.201740467
44.600000,-6.309010074e-05,1.135621813e-04,0.200851359
44.700000,-6.298301674e-05,1.133694301e-04,0.199962251
44.800000,-6.287593275e-05,1.131766790e-04,0.199073143
44.900000,-6.276884876e-05,1.129839278e-04,0.198184035
45.000000,-6.266176477e-05,1.127911766e-04,0.197294926
45.100000,-6.851334933e-04,1.233240288e-03,0.443566944
45.200000,-6.457019744e-04,1.162263554e-03,1.691136057
45.300000,-6.368391821e-04,1.146310528e-03,1.741586888
45.400000,-6.306697335e-04,1.135205520e-03,1.765623056
45.500000,-6.258789032e-04,1.126582026e-03,1.778585131
45.600000,-6.219482649e-04,1.119506877e-03,1.785984758
45.700000,-6.185064893e-04,1.113311681e-03,1.791024170
45.800000,-6.154476337e-04,1.107805741e-03,1.794407000
45.900000,-6.128870931e-04,1.103196768e-03,1.796309332
46.000000,-6.104984821e-04,1.098897268e-03,1.797700861
46.100000,-6.084737997e-04,1.095252839e-03,1.798600704
46.200000,-6.067419780e-04,1.092135560e-03,1.799104878
46.300000,-6.050101564e-04,1.089018281e-03,1.799609052
