time_ns,mem,spike,out
186.500,1.330213,1.759392,0.010767
187.000,1.525944,1.773955,0.009507
187.500,1.519798,1.774143,0.009534
188.000,1.464400,1.771096,0.009795
188.500,1.410247,1.767142,0.010142
189.000,1.356800,1.762657,0.010540
189.500,1.305578,1.755817,0.011193
190.000,1.256058,1.747175,0.012041
190.500,1.206539,1.738533,0.012889
191.000,1.157019,1.729891,0.013737
191.500,1.111545,1.711952,0.016035
192.000,1.069221,1.686770,0.019463
192.500,1.026898,1.661589,0.022891
193.000,0.984575,1.636408,0.026319
193.500,0.942252,1.611227,0.029747
194.000,0.904350,1.563031,0.038163
194.500,0.871131,1.471488,0.061058
195.000,0.839442,1.355651,0.097449
195.500,0.812863,1.151459,0.199649
196.000,0.793112,0.835963,0.642629
196.500,0.780342,0.621053,1.350809
197.000,0.771368,0.510428,1.510345
197.500,0.764250,0.443441,1.578764
198.000,0.758252,0.394862,1.617963
198.500,0.753043,0.357610,1.645491
199.000,0.748371,0.329003,1.665274
199.500,0.744128,0.306564,1.676344
